zone,left_ratio,middle_ratio,right_ratio,timestamp
LEFT,1.1093,0.0,0.3787,23:47:55
LEFT,1.1093,0.0,0.3522,23:47:55
LEFT,1.1449,0.0,0.3458,23:47:56
LEFT,0.9477,0.0,0.3458,23:47:56
LEFT,0.9477,0.0,0.4009,23:47:56
LEFT,1.0673,0.0,0.4009,23:47:56
LEFT,1.0673,0.0,0.374,23:47:56
LEFT,0.9676,0.0,0.4794,23:47:56
LEFT,1.0104,0.0,0.4732,23:47:56
LEFT,1.051,0.0,0.4732,23:47:57
LEFT,1.051,0.0,0.4675,23:47:57
LEFT,0.9037,0.0,0.4675,23:47:57
LEFT,0.9037,0.0,0.4404,23:47:57
LEFT,0.9478,0.0,0.4404,23:47:57
LEFT,0.9478,0.0,0.4153,23:47:57
LEFT,0.9389,0.0,0.4153,23:47:57
LEFT,0.9389,0.0,0.3989,23:47:57
LEFT,0.8975,0.0,0.3989,23:47:57
LEFT,0.8975,0.0,0.5269,23:47:57
LEFT,0.7781,0.0,0.5269,23:47:58
LEFT,0.7781,0.0,0.5756,23:47:58
LEFT,0.7781,0.0,0.6733,23:47:58
LEFT,0.4892,0.0,0.6733,23:47:58
LEFT,0.4892,0.0,0.818,23:47:58
LEFT,0.6321,0.0,0.818,23:47:58
LEFT,0.6321,0.0,0.9665,23:47:58
LEFT,0.705,0.0,0.9665,23:47:58
LEFT,0.705,0.0,0.995,23:47:58
LEFT,0.7454,0.0,0.995,23:47:59
LEFT,0.7454,0.0,0.9897,23:47:59
LEFT,1.0361,0.0,0.9897,23:47:59
LEFT,1.0361,0.0,1.0846,23:47:59
LEFT,1.0116,0.0,1.0846,23:47:59
MIDDLE,0.1518,0.0,0.5992,23:48:14
MIDDLE,0.1348,0.0,0.5942,23:48:14
MIDDLE,0.1206,0.0,0.4943,23:48:14
MIDDLE,0.1142,0.0,0.504,23:48:15
MIDDLE,0.0962,0.0,0.5373,23:48:15
MIDDLE,0.1034,0.0,0.5371,23:48:15
MIDDLE,0.1424,0.0,0.4313,23:48:15
MIDDLE,0.1543,0.0,0.3872,23:48:15
MIDDLE,0.1598,0.0,0.4238,23:48:16
MIDDLE,0.2007,0.0,0.3038,23:48:16
MIDDLE,0.236,0.0,0.3038,23:48:16
MIDDLE,0.236,0.0,0.2969,23:48:16
