zone,node,ts_ms,amp_0,amp_1,amp_2,amp_3,amp_4,amp_5,amp_6,amp_7,amp_8,amp_9,amp_10,amp_11,amp_12,amp_13,amp_14,amp_15,amp_16,amp_17,amp_18,amp_19,amp_20,amp_21,amp_22,amp_23,amp_24,amp_25,amp_26,amp_27,amp_28,amp_29,amp_30,amp_31,amp_32,amp_33,amp_34,amp_35,amp_36,amp_37,amp_38,amp_39,amp_40,amp_41,amp_42,amp_43,amp_44,amp_45,amp_46,amp_47,amp_48,amp_49,amp_50,amp_51,amp_52,amp_53,amp_54,amp_55,amp_56,amp_57,amp_58,amp_59,amp_60,amp_61,amp_62,amp_63
LEFT,left,1778971370414,134.3577,5.0,19.105,23.3452,24.7386,26.5707,27.313,26.8328,25.0599,21.6333,18.0278,14.4222,10.8167,7.2801,6.0,5.6569,8.0623,8.544,10.198,11.0,12.0416,14.1421,14.1421,15.2971,14.3178,13.3417,12.3693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.6469,14.8661,7.6158,2.0,3.6056,8.6023,12.8062,17.2047,21.4009,23.8537,26.6271,28.3019,29.5296,29.9666,31.7805,29.7321,30.6757,27.8927,27.8927,25.4951,22.8035,19.3132,14.3178,10.0,6.3246,6.4031
LEFT,right,1778971370464,134.3577,5.0,24.1868,22.0,19.105,17.088,16.6433,17.6918,18.868,20.1246,22.4722,24.3516,25.0,24.3516,23.4094,20.6155,18.3848,14.5602,12.0416,11.1803,12.083,15.2643,16.1245,16.1245,16.5529,16.1555,14.5602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0711,7.6158,11.6619,16.4924,23.0217,27.2947,31.6228,33.541,35.2278,33.9706,29.7321,25.0,18.6011,12.0416,8.2462,10.2956,15.5563,19.8494,24.2074,26.4008,28.0179,28.8444,28.6531,27.7308,27.5136,28.1603
LEFT,left,1778971370629,134.3577,5.0,20.6155,24.1661,27.2947,29.1548,28.8444,28.6007,27.0185,22.6716,19.105,14.2127,10.2956,7.0711,6.7082,9.2195,11.6619,13.4164,15.2315,17.088,17.4642,18.3848,17.8885,17.8885,16.1245,13.8924,11.6619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0217,16.0312,9.2195,3.0,3.1623,8.9443,14.7648,20.2485,23.8537,27.2029,29.2062,29.8329,29.2062,28.6007,26.0768,25.9422,23.7697,22.8035,21.3776,21.095,20.0998,17.1172,14.1421,8.2462,2.2361,4.0
LEFT,right,1778971370670,134.3577,5.0,23.0217,20.6155,17.6918,15.8114,13.9284,13.1529,13.1529,13.6015,15.6525,16.6433,17.2047,17.8045,17.2047,16.4012,14.2127,12.7279,10.8167,10.7703,11.4018,11.1803,12.1655,12.1655,11.4018,10.4403,9.4868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.2195,10.198,13.9284,17.0294,21.4009,25.4951,28.1603,30.2655,30.0,29.2746,25.7099,21.8403,15.5242,11.0454,8.0623,8.544,13.0384,17.0,21.0238,24.0832,25.0799,25.1794,25.4951,25.0,25.0799,24.5967
LEFT,left,1778971370846,134.3577,5.0,20.6155,24.0832,26.8701,27.5862,29.0689,27.8029,26.6271,23.8537,20.2485,15.8114,11.3137,8.9443,8.0,9.4868,10.8167,13.4536,14.8661,16.2788,17.6918,19.799,19.105,19.2094,17.8045,16.6433,14.4222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.4642,12.3693,7.0711,2.0,3.0,8.0623,13.1529,17.4642,20.8806,23.7697,26.4008,26.8328,27.2947,26.8328,25.4951,23.7697,22.1359,22.561,20.2237,20.025,18.0,16.0,12.0,7.0,2.8284,5.0
LEFT,right,1778971370872,134.3577,5.0,22.3607,19.6469,16.5529,13.0384,10.0,8.0623,8.544,10.6301,14.2127,16.1245,18.3576,18.7883,18.7883,17.0,14.7648,13.0,10.198,8.0623,8.544,8.6023,9.2195,9.8995,9.2195,8.4853,8.4853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0416,11.4018,13.3417,17.2047,21.2603,25.5539,29.5466,32.28,32.3883,33.0606,29.0,25.1794,19.105,13.0384,6.0828,4.0,8.6023,13.4536,17.0294,20.8087,22.4722,23.7065,24.6982,24.7386,25.1794,26.0
LEFT,left,1778971371055,134.3577,5.0,19.4165,23.6008,26.0768,29.1548,29.5296,29.9666,28.6356,25.0799,21.5407,17.4642,12.53,9.2195,6.3246,7.6158,9.2195,12.7279,15.6205,18.4391,20.6155,20.5183,21.2132,20.5183,19.2094,16.4012,13.6015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.2036,17.72,13.0,6.7082,1.0,5.6569,11.3137,16.2788,21.4009,24.4131,27.4591,28.8444,29.6816,28.8444,28.3019,26.4008,25.4951,24.0416,22.0227,20.8087,19.4165,15.8114,12.53,8.0623,3.0,3.6056
LEFT,right,1778971371089,134.3577,5.0,26.2488,23.3238,18.3848,16.2788,14.1421,12.53,13.4536,13.9284,17.2627,19.0263,21.0,21.0,21.0,19.0263,16.0312,12.0416,7.0,4.2426,6.0828,9.0554,11.0454,12.0416,13.0,12.0416,11.1803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,14.3178,14.4222,17.1172,22.3607,27.8568,32.249,35.609,36.7696,36.2353,33.2866,28.6531,21.4709,13.8924,6.4031,5.0,12.1655,18.0278,24.0208,28.0,30.0167,31.257,30.5941,30.3645,29.9666,29.6816
LEFT,left,1778971371268,134.3577,5.0,20.2237,24.1868,26.0768,30.0666,30.0666,30.0167,29.0,26.0192,23.0868,19.105,15.0333,10.0499,5.0,1.4142,5.0,8.6023,12.53,15.2643,17.4929,19.4165,19.8494,19.105,17.6918,15.6205,13.6015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.1948,18.4391,13.6015,7.6158,2.2361,5.099,10.7703,16.5529,21.0238,23.7065,26.4197,28.6531,29.5296,29.9666,29.1548,26.2488,25.4951,23.0868,24.0208,22.0227,19.105,16.1245,12.0416,8.0,2.8284,5.0
LEFT,right,1778971371287,134.3577,5.0,30.4138,28.2843,24.1868,20.0,15.2971,12.53,11.4018,13.0,16.0312,18.0,20.025,20.025,19.0,18.0278,14.0,10.198,9.434,9.8995,12.2066,13.6015,14.2127,12.7279,11.3137,9.2195,7.0711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2643,11.0454,10.6301,15.1327,20.3961,25.0799,30.2324,33.9706,35.4683,35.2278,33.121,28.6356,21.9317,15.2643,10.6301,9.0,12.53,17.0294,21.9317,25.4951,27.8029,28.0179,29.5296,30.0832,31.3209,32.7567
LEFT,left,1778971371476,134.3577,5.0,19.6469,24.7386,27.6586,29.6142,29.4279,30.2655,28.1603,26.0768,22.0227,17.0294,13.0384,8.0623,3.6056,4.1231,7.8102,10.6301,15.0,17.8045,19.2094,21.2603,21.9317,20.5183,19.2094,16.4012,14.2127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.5913,16.1555,9.2195,5.099,2.2361,6.7082,12.6491,18.4391,22.2036,26.0768,28.0713,30.0167,31.0161,30.0666,29.0689,27.2947,26.6833,24.3516,23.2594,21.9545,20.2485,17.2047,14.2127,9.2195,2.8284,3.1623
LEFT,right,1778971371504,134.3577,5.0,31.0161,28.0179,25.0,20.0998,15.5242,12.53,11.3137,12.083,14.1421,16.0312,18.0278,19.105,18.1108,17.4642,14.5602,11.4018,8.0623,6.3246,6.4031,8.4853,9.8995,9.8995,10.0,8.9443,7.6158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0499,5.831,8.6023,14.7648,19.6469,25.0799,30.0666,32.7567,33.8378,33.1059,30.5287,26.6271,21.6333,16.5529,12.0416,11.7047,13.4536,17.2047,20.5913,23.2594,25.0799,26.2488,26.9258,27.2947,29.0172,31.0
LEFT,left,1778971371678,134.3577,5.0,14.8661,18.9737,21.8403,25.7099,27.4591,28.2843,27.1662,25.02,23.0217,18.0278,15.1327,10.198,7.2111,5.3852,7.0711,9.8489,13.6015,16.4012,19.4165,21.6333,21.9545,21.4709,20.6155,18.9737,15.5242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.4642,13.0,8.9443,4.1231,3.0,7.2801,12.083,16.5529,20.6155,24.3516,25.632,28.1603,28.1603,28.1603,26.2488,24.6982,24.1661,22.4722,22.2036,21.2603,20.5183,19.105,16.2788,12.0416,7.8102,1.4142
LEFT,right,1778971371704,134.3577,5.0,29.2062,25.6125,21.9317,19.2094,15.6525,15.1327,15.0333,14.5602,17.0,18.868,20.2485,19.4165,18.0278,15.6525,11.6619,9.2195,7.6158,9.0,11.0454,13.0384,14.0,14.1421,12.3693,10.7703,8.9443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.4164,8.0623,7.2801,11.7047,17.8045,23.4307,28.6531,33.2415,34.9285,35.1283,32.0,29.1548,23.0868,17.0,11.4018,9.2195,11.1803,17.0294,20.2237,24.5153,26.6833,28.1603,28.7924,30.4138,30.5287,31.6228
LEFT,left,1778971371890,134.3577,5.0,17.0294,21.4009,23.0217,25.0599,25.0799,25.2982,22.8035,20.3961,17.1172,13.1529,10.0499,8.2462,5.831,4.4721,5.0,6.0828,8.544,9.8489,11.4018,12.3693,13.0384,14.0,13.1529,11.4018,9.4868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.5913,16.6433,11.1803,7.0711,6.4031,9.434,14.8661,18.6815,22.1359,25.2982,27.5136,28.7924,29.7321,29.4109,28.1603,26.6833,26.4764,25.1794,24.0832,23.0217,22.0227,19.0263,15.0333,10.0,5.099,3.0
